,carat,cut,color,clarity,depth,table,x,y,z,price
15457,1.0,1,6,3,62.8,61.0,6.31,6.34,3.97,6189
39418,0.41,4,4,4,61.3,57.0,4.79,4.77,2.93,1076
20588,1.74,4,1,1,61.6,57.0,7.67,7.74,4.75,8896
46051,0.54,4,5,4,62.6,55.0,5.2,5.22,3.26,1732
10846,1.0,4,2,2,61.9,57.0,6.43,6.39,3.97,4872
19551,1.6,3,2,1,59.4,59.0,7.55,7.6,4.5,8184
10553,1.02,2,5,2,60.5,63.0,6.48,6.54,3.94,4813
35081,0.37,4,5,4,61.6,54.7,4.61,4.63,2.85,886
48556,0.53,4,3,6,62.1,54.0,5.2,5.23,3.24,1990
51713,0.72,2,5,1,62.2,59.0,5.72,5.79,3.58,2401
42695,0.46,4,2,6,62.4,53.4,4.95,5.01,3.1,1338
9500,1.13,3,1,3,62.0,58.0,6.64,6.69,4.13,4611
32399,0.38,4,1,6,61.6,56.0,4.68,4.71,2.89,791
40591,0.3,0,4,2,63.1,58.0,4.3,4.22,2.69,496
6620,1.1,2,1,1,62.8,57.0,6.56,6.63,4.14,4083
18853,1.5,2,5,1,63.3,57.0,7.28,7.23,4.59,7728
45366,0.55,4,5,3,61.5,57.0,5.25,5.29,3.24,1665
197,0.7,3,5,2,61.0,58.0,5.78,5.72,3.51,2777
8585,1.01,2,1,3,61.3,56.0,6.53,6.45,3.98,4438
31550,0.31,4,6,4,60.5,57.0,4.4,4.43,2.67,766
22,0.23,2,2,4,61.0,57.0,3.94,3.96,2.41,353
39805,0.38,4,4,6,62.4,54.0,4.66,4.7,2.92,1096
49995,0.61,3,3,4,62.7,57.0,5.43,5.36,3.38,2192
53520,0.72,4,5,2,62.1,54.0,5.76,5.8,3.59,2688
610,0.71,3,4,4,59.0,60.0,5.82,5.8,3.43,2839
16699,0.3,1,2,2,63.7,56.0,4.2,4.22,2.68,421
22696,0.3,3,3,3,59.3,59.0,4.42,4.38,2.61,630
5120,0.91,2,2,2,62.7,56.0,6.14,6.18,3.86,3762
31517,0.34,4,5,2,61.4,55.0,4.54,4.48,2.77,765
5222,1.01,3,1,2,62.8,58.0,6.4,6.34,4.0,3782
31116,0.38,4,2,4,62.4,53.0,4.67,4.69,2.92,754
13584,1.05,3,4,2,60.3,60.0,6.66,6.54,3.98,5557
15398,1.2,4,2,2,61.9,54.0,6.8,6.86,4.23,6169
37782,0.38,3,5,4,60.7,59.0,4.65,4.7,2.84,1000
46734,0.58,4,4,3,60.6,55.0,5.4,5.43,3.28,1798
23059,1.25,3,5,4,61.5,59.0,6.95,6.91,4.26,11088
34041,0.3,4,3,7,61.7,53.0,4.33,4.36,2.68,850
7103,0.9,4,6,1,60.8,56.0,6.26,6.24,3.8,4167
47339,0.23,2,5,6,62.1,58.0,3.9,3.93,2.43,530
42507,0.53,2,4,2,62.5,57.0,5.19,5.24,3.26,1322
20774,1.05,4,3,7,62.5,56.0,6.52,6.48,4.06,9012
23498,1.5,1,3,3,63.8,56.0,7.2,7.15,4.58,11508
18661,1.06,3,3,5,62.4,55.0,6.54,6.5,4.07,7627
50534,0.54,4,3,4,60.7,57.0,5.29,5.26,3.2,2274
7294,0.9,4,2,4,60.9,57.0,6.2,6.24,3.79,4201
13721,0.41,4,4,1,62.6,57.0,4.68,4.77,2.96,603
13003,1.07,4,4,1,61.6,57.0,6.56,6.53,4.03,5405
14059,0.3,4,4,3,61.1,56.0,4.31,4.33,2.64,605
30532,0.39,4,5,3,61.4,55.0,4.76,4.81,2.94,734
52569,0.7,4,2,2,60.6,57.0,5.77,5.74,3.48,2536
31621,0.32,4,1,2,60.5,58.0,4.43,4.49,2.7,450
20457,1.24,4,3,3,62.3,57.0,6.95,6.89,4.31,8799
14749,1.5,3,2,1,60.2,59.0,7.43,7.35,4.45,5937
43858,0.71,2,4,0,63.2,55.0,5.64,5.57,3.54,1448
37661,0.42,3,4,2,62.7,55.0,4.83,4.8,3.02,992
10445,1.01,4,5,1,62.2,56.0,6.42,6.45,4.0,4788
50437,0.72,3,1,2,61.5,59.0,5.78,5.73,3.54,2262
37315,0.38,4,5,4,61.9,55.2,4.62,4.65,2.87,979
1203,0.74,4,4,3,60.5,59.0,5.81,5.86,3.53,2936
3412,0.38,4,4,1,60.9,56.0,4.69,4.74,2.87,568
12238,1.04,4,1,4,62.4,57.0,6.44,6.48,4.03,5199
35300,0.3,3,1,4,61.7,58.0,4.27,4.32,2.65,473
17576,1.02,4,4,3,62.0,55.0,6.47,6.5,4.02,7078
5431,1.01,1,4,1,63.0,60.0,6.28,6.35,3.98,3827
48553,0.7,2,6,1,60.9,60.0,5.68,5.72,3.47,1990
11119,1.05,1,2,2,63.2,56.0,6.47,6.51,4.1,4937
39143,0.41,3,3,3,62.6,58.0,4.74,4.71,2.96,1061
